geometryType,hatchSpacing,laserPower,laserVelocity,layerThickness
TEN,0.14,350,1300,30.0
AXFT,0.14,350,1300,30.0
4PTF,140.0,370,1200,30.0
4PTF,140.0,370,1200,30.0
TTT,0.14,160,1200,0.03
TTT,0.14,180,1200,0.03
TTT,0.14,200,1200,0.03
TTT,0.14,220,1200,0.03
TTT,0.14,240,1200,0.03
TTT,0.14,280,750,0.03
TTT,0.14,280,700,0.03
TTT,0.14,280,650,0.03
TTT,0.08,290,1500,0.03
TTT,0.07,300,2000,0.03
TTT,0.07,320,2100,0.03
TTT,0.05,300,3000,0.03
TTT,0.07,280,2000,0.03
TTT,0.1,300,1800,0.03
TTT,0.1,200,700,0.03
TTT,0.08,160,800,0.03
TTT,0.1,300,1250,0.03
TTT,0.15,370,2000,0.03
TTT,0.16,320,1500,0.03
TTT,0.15,300,1350,0.03
TTT,0.15,340,2100,0.03
TTT,0.03,350,6000,0.03
TTT,0.05,300,4000,0.03
TTT,0.07,330,3000,0.03
TTT,0.12,140,500,0.03
TTT,0.14,100,400,0.03
TTT,0.1,220,900,0.03
TTT,0.06,180,1100,0.03
TTT,0.04,200,1900,0.03
TTT,0.04,180,2100,0.03
TTT,0.15,370,1800,0.03
TTT,0.18,370,1100,0.03
TTT,0.1,370,1200,0.03
TTT,0.11,200,1400,0.03
TTT,0.08,200,3500,0.03
TTT,0.09,275,2200,0.03
TTT,0.1,250,3000,0.03
TTT,0.04,250,5000,0.03
TTT,0.1,300,1200,0.03
TTT,0.1,100,1000,0.03
TTT,0.05,200,1000,0.03
TTT,0.09,330,1200,0.03
TTT,0.12,330,1900,0.03
TTT,0.1,250,2200,0.03
TTT,0.04,250,2200,0.03
TTT,0.06,300,2500,0.03
TTT,0.11,250,800,0.03
TTT,0.1,370,2500,0.03
TTT,0.08,250,1800,0.03
TTT,0.19,340,600,0.03
TTT,0.14,280,1200,0.03
TTT,0.14,280,800,0.03
TTT,0.08,280,1500,0.03
TTT,0.03,100,3600,0.03
TTT,0.03,100,1290,0.03
TTT,0.03,190,3900,0.03
TTT,0.07,110,2090,0.03
TTT,0.18,210,590,0.03
TTT,0.18,245,1810,0.03
TTT,0.14,270,2570,0.03
TTT,0.09,175,2360,0.03
TTT,0.08,365,3990,0.03
TTT,0.03,110,2440,0.03
TTT,0.06,140,3110,0.03
TTT,0.06,100,470,0.03
TTT,0.14,360,720,0.03
TTT,0.03,245,3280,0.03
TTT,0.18,275,830,0.03
TTT,0.13,215,2190,0.03
TTT,0.07,260,3500,0.03
TTT,0.07,225,2650,0.03
TTT,0.18,310,2290,0.03
TTT,0.03,170,3000,0.03
TTT,0.18,165,1220,0.03
TTT,0.11,310,2730,0.03
TTT,0.1,145,1600,0.03
TTT,0.06,240,1120,0.03
TTT,0.06,125,1280,0.03
TTT,0.08,310,3770,0.03
TTT,0.07,365,1590,0.03
TTT,0.18,365,2350,0.03
TTT,0.05,230,3960,0.03
