geometryType,hatchSpacing,laserPower,laserVelocity,layerThickness
IMQCAM - TEN,0.00014000000000000001,350.0,1300.0,0.03
IMQCAM - AXFT,0.00014000000000000001,350.0,1300.0,0.03
IMQCAM - 4PTF,0.14,370.0,1200.0,0.03
IMQCAM - 4PTF,0.14,370.0,1200.0,0.03
TTT,0.14,160.0,1200.0,0.03
TTT,0.14,180.0,1200.0,0.03
TTT,0.14,200.0,1200.0,0.03
TTT,0.14,220.0,1200.0,0.03
TTT,0.14,240.0,1200.0,0.03
TTT,0.14,280.0,750.0,0.03
TTT,0.14,280.0,700.0,0.03
TTT,0.14,280.0,650.0,0.03
TTT,0.08,290.0,1500.0,0.03
TTT,0.07,300.0,2000.0,0.03
TTT,0.07,320.0,2100.0,0.03
TTT,0.05,300.0,3000.0,0.03
TTT,0.07,280.0,2000.0,0.03
TTT,0.1,300.0,1800.0,0.03
TTT,0.1,200.0,700.0,0.03
TTT,0.08,160.0,800.0,0.03
TTT,0.1,300.0,1250.0,0.03
TTT,0.15,370.0,2000.0,0.03
TTT,0.16,320.0,1500.0,0.03
TTT,0.15,300.0,1350.0,0.03
TTT,0.15,340.0,2100.0,0.03
TTT,0.03,350.0,6000.0,0.03
TTT,0.05,300.0,4000.0,0.03
TTT,0.07,330.0,3000.0,0.03
TTT,0.12,140.0,500.0,0.03
TTT,0.14,100.0,400.0,0.03
TTT,0.1,220.0,900.0,0.03
TTT,0.06,180.0,1100.0,0.03
TTT,0.04,200.0,1900.0,0.03
TTT,0.04,180.0,2100.0,0.03
TTT,0.15,370.0,1800.0,0.03
TTT,0.18,370.0,1100.0,0.03
TTT,0.1,370.0,1200.0,0.03
TTT,0.11,200.0,1400.0,0.03
TTT,0.08,200.0,3500.0,0.03
TTT,0.09,275.0,2200.0,0.03
TTT,0.1,250.0,3000.0,0.03
TTT,0.04,250.0,5000.0,0.03
TTT,0.1,300.0,1200.0,0.03
TTT,0.1,100.0,1000.0,0.03
TTT,0.05,200.0,1000.0,0.03
TTT,0.09,330.0,1200.0,0.03
TTT,0.12,330.0,1900.0,0.03
TTT,0.1,250.0,2200.0,0.03
TTT,0.04,250.0,2200.0,0.03
TTT,0.06,300.0,2500.0,0.03
TTT,0.11,250.0,800.0,0.03
TTT,0.1,370.0,2500.0,0.03
TTT,0.08,250.0,1800.0,0.03
TTT,0.19,340.0,600.0,0.03
TTT,0.14,280.0,1200.0,0.03
TTT,0.14,280.0,800.0,0.03
TTT,0.08,280.0,1500.0,0.03
TTT,0.03,100.0,3600.0,0.03
TTT,0.03,100.0,1290.0,0.03
TTT,0.03,190.0,3900.0,0.03
TTT,0.07,110.0,2090.0,0.03
TTT,0.18,210.0,590.0,0.03
TTT,0.18,245.0,1810.0,0.03
TTT,0.14,270.0,2570.0,0.03
TTT,0.09,175.0,2360.0,0.03
TTT,0.08,365.0,3990.0,0.03
TTT,0.03,110.0,2440.0,0.03
TTT,0.06,140.0,3110.0,0.03
TTT,0.06,100.0,470.0,0.03
TTT,0.14,360.0,720.0,0.03
TTT,0.03,245.0,3280.0,0.03
TTT,0.18,275.0,830.0,0.03
TTT,0.13,215.0,2190.0,0.03
TTT,0.07,260.0,3500.0,0.03
TTT,0.07,225.0,2650.0,0.03
TTT,0.18,310.0,2290.0,0.03
TTT,0.03,170.0,3000.0,0.03
TTT,0.18,165.0,1220.0,0.03
TTT,0.11,310.0,2730.0,0.03
TTT,0.1,145.0,1600.0,0.03
TTT,0.06,240.0,1120.0,0.03
TTT,0.06,125.0,1280.0,0.03
TTT,0.08,310.0,3770.0,0.03
TTT,0.07,365.0,1590.0,0.03
TTT,0.18,365.0,2350.0,0.03
TTT,0.05,230.0,3960.0,0.03
TTT,0.13,190.0,410.0,0.03
TTT,0.07,200.0,1830.0,0.03
TTT,0.16,320.0,640.0,0.03
TTT,0.05,205.0,3240.0,0.03
TTT,0.03,155.0,1440.0,0.03
TTT,0.15,230.0,460.0,0.03
TTT,0.12,325.0,800.0,0.03
TTT,0.12,260.0,1660.0,0.03
TTT,0.16,210.0,1740.0,0.03
TTT,0.07,365.0,2440.0,0.03
TTT,0.16,175.0,650.0,0.03
TTT,0.03,315.0,3500.0,0.03
TTT,0.16,280.0,2010.0,0.03
TTT,0.05,350.0,3990.0,0.03
TTT,0.03,265.0,3990.0,0.03
TTT,0.03,215.0,2670.0,0.03
TTT,0.04,145.0,3680.0,0.03
TTT,0.06,180.0,2630.0,0.03
TTT,0.09,360.0,3180.0,0.03
TTT,0.08,285.0,2930.0,0.03
TTT,0.09,125.0,400.0,0.03
TTT,0.05,140.0,2360.0,0.03
TTT,0.17,235.0,1150.0,0.03
TTT,0.18,290.0,1560.0,0.03
TTT,0.05,275.0,1530.0,0.03
TTT,0.12,170.0,1880.0,0.03
TTT,0.07,155.0,1960.0,0.03
TTT,0.06,365.0,3370.0,0.03
TTT,0.03,280.0,2670.0,0.03
TTT,0.13,360.0,1380.0,0.03
TTT,0.18,345.0,1710.0,0.03
TTT,0.09,345.0,1900.0,0.03
TTT,0.05,255.0,2870.0,0.03
TTT,0.08,100.0,1460.0,0.03
TTT,0.12,285.0,2230.0,0.03
TTT,0.04,295.0,2080.0,0.03
TTT,0.11,165.0,990.0,0.03
TTT,0.12,245.0,2610.0,0.03
TTT,0.08,205.0,1210.0,0.03
TTT,0.04,120.0,1820.0,0.03
TTT,0.15,240.0,2130.0,0.03
TTT,0.05,340.0,1890.0,0.03
TTT,0.09,330.0,2530.0,0.03
TTT,0.08,260.0,910.0,0.03
TTT,0.04,130.0,910.0,0.03
TTT,0.04,115.0,3040.0,0.03
