source,uniqueId,igsn,hatchSpacing_mm,laserPower_W,laserVelocity_mm_s,layerThickness_mm,VED_J_per_mm3
Printer Build,20241219_CMU_Ti-6Al-4V,CMXMAL00007,0.14,350.0,1300.0,0.03,64.10256410256409
Printer Build,20240220_CMU_Ti-6Al-4V,CMXMAL00008,0.14,370.0,1300.0,0.03,67.76556776556775
Printer Build,20241202_CMU_Ti-6Al-4V,CMXMAL00010,0.14,370.0,1300.0,0.03,67.76556776556775
Printer Build,20251215_CMU_Ti-6Al-4V,CMXMAL00024,0.14,370.0,1300.0,0.03,67.76556776556775
NASA TTT,A01_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.14,160.0,1200.0,0.03,31.74603174603174
NASA TTT,A02_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.14,180.0,1200.0,0.03,35.71428571428571
NASA TTT,A03_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.14,200.0,1200.0,0.03,39.68253968253968
NASA TTT,A04_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.14,220.0,1200.0,0.03,43.650793650793645
NASA TTT,A05_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.14,240.0,1200.0,0.03,47.61904761904761
NASA TTT,A06_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.14,280.0,750.0,0.03,88.88888888888889
NASA TTT,A07_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.14,280.0,700.0,0.03,95.23809523809523
NASA TTT,A08_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.14,280.0,650.0,0.03,102.56410256410255
NASA TTT,A09_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.08,290.0,1500.0,0.03,80.55555555555556
NASA TTT,A10_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.07,300.0,2000.0,0.03,71.42857142857143
NASA TTT,A11_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.07,320.0,2100.0,0.03,72.56235827664399
